公告,#genre#
更新日期,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
2025-03-30,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
📡  央视频道,#genre#
CCTV1,http://huashetou.fun:35455/gaoma/cctv1.m3u8$LR•IPV4『线路1』
CCTV1,http://36.105.100.208:35455/gaoma/cctv1.m3u8$LR•IPV4『线路2』
CCTV1,http://112.81.218.254:35455/gaoma/cctv1.m3u8$LR•IPV4『线路3』
CCTV1,http://115.159.35.169:35455/gaoma/cctv1.m3u8$LR•IPV4『线路4』
CCTV1,http://1.itv.nctv.top:8883/gaoma/cctv1.m3u8$LR•IPV4『线路5』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225619/2/index.m3u8$LR•IPV6『线路1』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225643/index.m3u8$LR•IPV6『线路2』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8$LR•IPV6『线路3』
CCTV2,http://112.81.218.254:35455/gaoma/cctv2.m3u8$LR•IPV4『线路4』
CCTV2,http://39.77.34.83:35455/gaoma/cctv2.m3u8$LR•IPV4『线路5』
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路6』
CCTV2,http://home.kuaidi521.com:35455/gaoma/cctv2.m3u8$LR•IPV4『线路7』
CCTV2,http://www.douzhicloud.site:35455/gaoma/cctv2.m3u8$LR•IPV4『线路8』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225634/index.m3u8$LR•IPV6『线路1』
CCTV3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$LR•IPV6『线路2』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8$LR•IPV6『线路3』
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225647/2/index.m3u8$LR•IPV6『线路4』
CCTV3,http://home.kuaidi521.com:35455/gaoma/cctv3.m3u8$LR•IPV4『线路5』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4『线路6』
CCTV3,http://ms.fxim.net:808/hls/3/index.m3u8$LR•IPV4『线路7』
CCTV3,http://113.140.12.230:8888/newlive/live/hls/4/live.m3u8$LR•IPV4『线路8』
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8$LR•IPV4『线路9』
CCTV4,http://www.douzhicloud.site:35455/gaoma/cctv4.m3u8$LR•IPV4『线路1』
CCTV4,http://112.81.218.254:35455/gaoma/cctv4.m3u8$LR•IPV4『线路2』
CCTV4,http://185.241.43.67:35455/gaoma/cctv4.m3u8$LR•IPV4『线路3』
CCTV4,http://huashetou.fun:35455/gaoma/cctv4.m3u8$LR•IPV4『线路4』
CCTV4,http://hmjnas.drdjhmj.top:35455/gaoma/cctv4k.m3u8$LR•IPV4『线路5』
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8$LR•IPV6『线路1』
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225633/index.m3u8$LR•IPV6『线路2』
CCTV5,http://huashetou.fun:35455/gaoma/cctv5.m3u8$LR•IPV4『线路3』
CCTV5,http://zjzcf.synology.me:35455/gaoma/cctv5.m3u8$LR•IPV4『线路4』
CCTV5,http://3501776.xyz:35455/gaoma/cctv5.m3u8$LR•IPV4『线路5』
CCTV5,http://b.zgjok.com:35455/gaoma/cctv5.m3u8$LR•IPV4『线路6』
CCTV5,http://nas.suntao.online:35455/gaoma/cctv5.m3u8$LR•IPV4『线路7』
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225706/2/index.m3u8$LR•IPV6『线路1』
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225706/index.m3u8$LR•IPV6『线路2』
CCTV5+,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8$LR•IPV4『线路3』
CCTV5+,http://home.kuaidi521.com:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路4』
CCTV5+,http://115.159.35.169:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路5』
CCTV5+,http://huashetou.fun:35455/gaoma/cctv5p.m3u8$LR•IPV4『线路6』
CCTV5+,http://1.itv.nctv.top:8883/gaoma/cctv5p.m3u8$LR•IPV4『线路7』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225632/2/index.m3u8$LR•IPV6『线路1』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225650/2/index.m3u8$LR•IPV6『线路2』
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225632/index.m3u8$LR•IPV6『线路3』
CCTV6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8$LR•IPV4『线路4』
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$LR•IPV4『线路5』
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8$LR•IPV4『线路6』
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8$LR•IPV4『线路7』
CCTV6,http://ms.fxim.net:808/hls/6/index.m3u8$LR•IPV4『线路8』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225644/2/index.m3u8$LR•IPV6『线路1』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225624/index.m3u8$LR•IPV6『线路2』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225624/2/index.m3u8$LR•IPV6『线路3』
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225499/2/index.m3u8$LR•IPV6『线路4』
CCTV7,http://xiaoya.crccxw.top:35455/gaoma/cctv7.m3u8$LR•IPV4『线路5』
CCTV7,http://39.77.34.83:35455/gaoma/cctv7.m3u8$LR•IPV4『线路6』
CCTV7,http://36.105.100.208:35455/gaoma/cctv7.m3u8$LR•IPV4『线路7』
CCTV7,http://www.douzhicloud.site:35455/gaoma/cctv7.m3u8$LR•IPV4『线路8』
CCTV7,http://115.159.35.169:35455/gaoma/cctv7.m3u8$LR•IPV4『线路9』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225631/2/index.m3u8$LR•IPV6『线路1』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225631/index.m3u8$LR•IPV6『线路2』
CCTV8,http://[2409:8087:1a01:df::4051]:80/TVOD/88888888/224/3221225795/main.m3u8$LR•IPV6『线路3』
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225635/2/index.m3u8$LR•IPV6『线路4』
CCTV8,http://36.105.100.208:35455/gaoma/cctv8.m3u8$LR•IPV4『线路5』
CCTV8,http://115.159.35.169:35455/gaoma/cctv8.m3u8$LR•IPV4『线路6』
CCTV8,http://112.81.218.254:35455/gaoma/cctv8.m3u8$LR•IPV4『线路7』
CCTV8,http://117.14.55.26:35455/gaoma/cctv8.m3u8$LR•IPV4『线路8』
CCTV8,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8$LR•IPV4『线路9』
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225646/2/index.m3u8$LR•IPV6『线路1』
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225646/index.m3u8$LR•IPV6『线路2』
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225626/2/index.m3u8$LR•IPV6『线路3』
CCTV9,http://www.douzhicloud.site:35455/gaoma/cctv9.m3u8$LR•IPV4『线路4』
CCTV9,http://115.159.35.169:35455/gaoma/cctv9.m3u8$LR•IPV4『线路5』
CCTV9,http://39.77.34.83:35455/gaoma/cctv9.m3u8$LR•IPV4『线路6』
CCTV9,http://36.105.100.208:35455/gaoma/cctv9.m3u8$LR•IPV4『线路7』
CCTV9,http://huashetou.fun:35455/gaoma/cctv9.m3u8$LR•IPV4『线路8』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8$LR•IPV6『线路1』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225636/2/index.m3u8$LR•IPV6『线路2』
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225636/index.m3u8$LR•IPV6『线路3』
CCTV10,http://1.itv.nctv.top:8883/gaoma/cctv10.m3u8$LR•IPV4『线路4』
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8$LR•IPV4『线路5』
CCTV10,http://huashetou.fun:35455/gaoma/cctv10.m3u8$LR•IPV4『线路6』
CCTV10,http://112.81.218.254:35455/gaoma/cctv10.m3u8$LR•IPV4『线路7』
CCTV10,http://home.kuaidi521.com:35455/gaoma/cctv10.m3u8$LR•IPV4『线路8』
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225628/index.m3u8$LR•IPV6『线路1』
CCTV11,http://huashetou.fun:35455/gaoma/cctv11.m3u8$LR•IPV4『线路2』
CCTV11,http://1.itv.nctv.top:8883/gaoma/cctv11.m3u8$LR•IPV4『线路3』
CCTV11,http://36.105.100.208:35455/gaoma/cctv11.m3u8$LR•IPV4『线路4』
CCTV11,http://112.81.218.254:35455/gaoma/cctv11.m3u8$LR•IPV4『线路5』
CCTV11,http://home.kuaidi521.com:35455/gaoma/cctv11.m3u8$LR•IPV4『线路6』
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225629/2/index.m3u8$LR•IPV6『线路1』
CCTV12,http://huashetou.fun:35455/gaoma/cctv12.m3u8$LR•IPV4『线路2』
CCTV12,http://115.159.35.169:35455/gaoma/cctv12.m3u8$LR•IPV4『线路3』
CCTV12,http://112.81.218.254:35455/gaoma/cctv12.m3u8$LR•IPV4『线路4』
CCTV12,http://1.itv.nctv.top:8883/gaoma/cctv12.m3u8$LR•IPV4『线路5』
CCTV12,http://36.105.100.208:35455/gaoma/cctv12.m3u8$LR•IPV4『线路6』
CCTV13,http://36.105.100.208:35455/gaoma/cctv13.m3u8$LR•IPV4『线路1』
CCTV13,http://112.81.218.254:35455/gaoma/cctv13.m3u8$LR•IPV4『线路2』
CCTV13,http://home.kuaidi521.com:35455/gaoma/cctv13.m3u8$LR•IPV4『线路3』
CCTV13,http://39.164.160.249:9901/tsfile/live/0013_1.m3u8$LR•IPV4『线路4』
CCTV13,http://39.77.34.83:35455/gaoma/cctv13.m3u8$LR•IPV4『线路5』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225640/2/index.m3u8$LR•IPV6『线路1』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8$LR•IPV6『线路2』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225639/2/index.m3u8$LR•IPV6『线路3』
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225640/index.m3u8$LR•IPV6『线路4』
CCTV14,http://115.159.35.169:35455/gaoma/cctv14.m3u8$LR•IPV4『线路5』
CCTV14,http://117.14.55.26:35455/gaoma/cctv14.m3u8$LR•IPV4『线路6』
CCTV14,http://227w9f5104.zicp.fun:35455/gaoma/cctv14.m3u8$LR•IPV4『线路7』
CCTV14,http://39.164.160.249:9901/tsfile/live/0014_1.m3u8$LR•IPV4『线路8』
CCTV14,http://36.105.100.208:35455/gaoma/cctv14.m3u8$LR•IPV4『线路9』
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8$LR•IPV6『线路1』
CCTV15,http://[2409:8087:1a01:df::4033]:80/TVOD/88888888/224/3221226127/main.m3u8$LR•IPV6『线路2』
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225641/index.m3u8$LR•IPV6『线路3』
CCTV15,http://39.164.160.249:9901/tsfile/live/0015_1.m3u8$LR•IPV4『线路4』
CCTV15,http://huashetou.fun:35455/gaoma/cctv15.m3u8$LR•IPV4『线路5』
CCTV15,http://115.159.35.169:35455/gaoma/cctv15.m3u8$LR•IPV4『线路6』
CCTV15,http://117.14.55.26:35455/gaoma/cctv15.m3u8$LR•IPV4『线路7』
CCTV15,http://227w9f5104.zicp.fun:35455/gaoma/cctv15.m3u8$LR•IPV4『线路8』
CCTV16,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226230/index.m3u8$LR•IPV6『线路1』
CCTV16,http://115.159.35.169:35455/gaoma/cctv16.m3u8$LR•IPV4『线路2』
CCTV16,http://36.105.100.208:35455/gaoma/cctv16.m3u8$LR•IPV4『线路3』
CCTV16,http://xiaoya.crccxw.top:35455/gaoma/cctv16.m3u8$LR•IPV4『线路4』
CCTV16,http://112.81.218.254:35455/gaoma/cctv16.m3u8$LR•IPV4『线路5』
CCTV16,http://huashetou.fun:35455/gaoma/cctv16.m3u8$LR•IPV4『线路6』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225907/2/index.m3u8$LR•IPV6『线路1』
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225909/index.m3u8$LR•IPV6『线路2』
CCTV17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8$LR•IPV6『线路3』
CCTV17,http://huashetou.fun:35455/gaoma/cctv17.m3u8$LR•IPV4『线路4』
CCTV17,http://115.159.35.169:35455/gaoma/cctv17.m3u8$LR•IPV4『线路5』
CCTV17,http://36.105.100.208:35455/gaoma/cctv17.m3u8$LR•IPV4『线路6』
CCTV17,http://112.81.218.254:35455/gaoma/cctv17.m3u8$LR•IPV4『线路7』
CCTV17,http://117.14.55.26:35455/gaoma/cctv17.m3u8$LR•IPV4『线路8』
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8$LR•IPV4
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路1』
CCTV第一剧场,http://121.19.134.200:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路2』
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路3』
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.1.1.183:5002$LR•IPV4『线路4』
